# Logfile created on 2025-11-26 05:47:18 +0100 by logger.rb/v1.5.3
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : Starting running IHP-SG13G2 Klayout DRC runset on /foss/designs/SAR_ADC_IHP/gds/NOT_gate.gds
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : Ruby Version for klayout: 3.2.3
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : Loading database to memory is complete.
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : IHP-SG13G2 Klayout DRC runset output at: /foss/designs/SAR_ADC_IHP/gds/drc_run_NOR_gate/NOT_gate_NOR_gate_main.lyrdb
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : Evaluate switches.
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : table_name selected  main
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : Klayout will use 1 thread(s)
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : deep mode is enabled for main table.
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : FEOL enabled: true
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : BEOL enabled: true
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : OffGrid enabled: true
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : PreCheck DRC enabled: false
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : CONNECTIVITY_RULES enabled: true for table main
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : Read in polygons from layers.
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : activ_drw has 20 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : activ_pin has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : activ_mask has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : activ_filler has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : activ_nofill has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : activ_opc has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : activ_iopc has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : activ_noqrc has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : biwind_drw has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : biwind_opc has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : pemwind_drw has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : gatpoly_drw has 14 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : gatpoly_pin has 2 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : gatpoly_filler has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : gatpoly_nofill has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : gatpoly_opc has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : gatpoly_iopc has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : gatpoly_noqrc has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : cont_drw has 46 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : cont_opc has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : nsd_drw has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : nsd_block has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : metal1_drw has 37 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : metal1_pin has 7 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : metal1_mask has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : metal1_filler has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : metal1_nofill has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : metal1_slit has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : metal1_text has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : metal1_opc has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : metal1_noqrc has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : metal1_res has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : metal1_iprobe has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (452980K) : metal1_diffprb has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (455924K) : passiv_drw has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (455924K) : passiv_pin has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (455924K) : passiv_sbump has 0 polygons
2025-11-26 05:47:18 +0100: Memory Usage (455924K) : passiv_pillar has 0 polygons
