# Logfile created on 2025-11-26 06:12:28 +0100 by logger.rb/v1.5.3
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : Starting running IHP-SG13G2 Klayout DRC runset on /foss/designs/SAR_ADC_IHP/gds/comparador/SR_latch.gds
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : Ruby Version for klayout: 3.2.3
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : Loading database to memory is complete.
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : IHP-SG13G2 Klayout DRC runset output at: /foss/designs/SAR_ADC_IHP/gds/drc_run_SR_latch/SR_latch_SR_latch_main.lyrdb
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : Evaluate switches.
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : table_name selected  main
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : Klayout will use 1 thread(s)
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : deep mode is enabled for main table.
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : FEOL enabled: true
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : BEOL enabled: true
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : OffGrid enabled: true
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : PreCheck DRC enabled: false
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : CONNECTIVITY_RULES enabled: true for table main
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : Read in polygons from layers.
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : activ_drw has 40 polygons
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : activ_pin has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : activ_mask has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : activ_filler has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : activ_nofill has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : activ_opc has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : activ_iopc has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : activ_noqrc has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : biwind_drw has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : biwind_opc has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : pemwind_drw has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : gatpoly_drw has 28 polygons
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : gatpoly_pin has 4 polygons
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : gatpoly_filler has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : gatpoly_nofill has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : gatpoly_opc has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : gatpoly_iopc has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : gatpoly_noqrc has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : cont_drw has 92 polygons
2025-11-26 06:12:28 +0100: Memory Usage (453020K) : cont_opc has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (455612K) : nsd_drw has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (455612K) : nsd_block has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (455612K) : metal1_drw has 78 polygons
2025-11-26 06:12:28 +0100: Memory Usage (455612K) : metal1_pin has 14 polygons
2025-11-26 06:12:28 +0100: Memory Usage (455612K) : metal1_mask has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (455612K) : metal1_filler has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (455612K) : metal1_nofill has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (455612K) : metal1_slit has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (455612K) : metal1_text has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (455612K) : metal1_opc has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (455612K) : metal1_noqrc has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (455612K) : metal1_res has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (455612K) : metal1_iprobe has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (455612K) : metal1_diffprb has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (455612K) : passiv_drw has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (455612K) : passiv_pin has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (455612K) : passiv_sbump has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (455612K) : passiv_pillar has 0 polygons
2025-11-26 06:12:28 +0100: Memory Usage (456144K) : passiv_pdl has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456144K) : metal2_drw has 18 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456144K) : metal2_pin has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456144K) : metal2_mask has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456144K) : metal2_filler has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456144K) : metal2_nofill has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456408K) : metal2_slit has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456408K) : metal2_text has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456408K) : metal2_opc has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456408K) : metal2_noqrc has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456408K) : metal2_res has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456408K) : metal2_iprobe has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456672K) : metal2_diffprb has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456672K) : baspoly_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456672K) : baspoly_pin has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456672K) : psd_drw has 10 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456672K) : nldb_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456672K) : digibnd_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456936K) : via1_drw has 6 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456936K) : backmetal1_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456936K) : backmetal1_pin has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456936K) : backmetal1_mask has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456936K) : backmetal1_filler has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456936K) : backmetal1_nofill has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (456936K) : backmetal1_slit has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (457200K) : backmetal1_text has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (457200K) : backmetal1_opc has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (457200K) : backmetal1_noqrc has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (457200K) : backmetal1_res has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (457200K) : backmetal1_iprobe has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (457200K) : backmetal1_diffprb has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (457464K) : backpassiv_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (457464K) : res_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (457464K) : sram_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (457464K) : trans_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (457464K) : ind_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (457728K) : ind_pin has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (457728K) : ind_text has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (457728K) : salblock_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (457728K) : via2_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (457728K) : metal3_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (457728K) : metal3_pin has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (457992K) : metal3_mask has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (457992K) : metal3_filler has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (457992K) : metal3_nofill has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (457992K) : metal3_slit has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (457992K) : metal3_text has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (457992K) : metal3_opc has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (458256K) : metal3_noqrc has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (458256K) : metal3_res has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (458256K) : metal3_iprobe has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (458256K) : metal3_diffprb has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (458256K) : nwell_drw has 14 polygons
2025-11-26 06:12:29 +0100: Memory Usage (458520K) : nwell_pin has 2 polygons
2025-11-26 06:12:29 +0100: Memory Usage (458520K) : nbulay_drw has 2 polygons
2025-11-26 06:12:29 +0100: Memory Usage (458520K) : nbulay_pin has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (458520K) : nbulay_block has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (458520K) : emwind_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (458520K) : emwind_opc has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (458784K) : deepco_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (458784K) : deepco_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (458784K) : mim_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (458784K) : edgeseal_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (458784K) : edgeseal_bound has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (458784K) : substrate_drw has 10 polygons
2025-11-26 06:12:29 +0100: Memory Usage (458784K) : substrate_text has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (458784K) : dfpad_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (458784K) : dfpad_pillar has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (458784K) : dfpad_sbump has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (458784K) : thickgateox_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (458784K) : pldb_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (459048K) : pwell_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (459048K) : pwell_pin has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (459048K) : pwell_block has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (459048K) : ic_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (459048K) : via3_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (459048K) : metal4_drw has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (459312K) : metal4_pin has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (459312K) : metal4_mask has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (459312K) : metal4_filler has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (459312K) : metal4_nofill has 0 polygons
2025-11-26 06:12:29 +0100: Memory Usage (459312K) : metal4_slit has 0 polygons
