# Logfile created on 2025-11-28 23:28:27 +0100 by logger.rb/v1.5.3
2025-11-28 23:28:27 +0100: Memory Usage (453916K) : Starting running IHP-SG13G2 Klayout DRC runset on /foss/designs/SAR_ADC_IHP/gds/cdac/unit_cell_cdac.gds
2025-11-28 23:28:27 +0100: Memory Usage (453916K) : Ruby Version for klayout: 3.2.3
2025-11-28 23:28:27 +0100: Memory Usage (453916K) : Loading database to memory is complete.
2025-11-28 23:28:27 +0100: Memory Usage (453916K) : IHP-SG13G2 Klayout DRC runset output at: /foss/designs/SAR_ADC_IHP/gds/drc_run_TOP/unit_cell_cdac_TOP_main.lyrdb
2025-11-28 23:28:27 +0100: Memory Usage (453916K) : Evaluate switches.
2025-11-28 23:28:27 +0100: Memory Usage (453916K) : table_name selected  main
2025-11-28 23:28:27 +0100: Memory Usage (453916K) : Klayout will use 1 thread(s)
2025-11-28 23:28:27 +0100: Memory Usage (453916K) : deep mode is enabled for main table.
2025-11-28 23:28:27 +0100: Memory Usage (453916K) : FEOL enabled: true
2025-11-28 23:28:27 +0100: Memory Usage (453916K) : BEOL enabled: true
2025-11-28 23:28:27 +0100: Memory Usage (453916K) : OffGrid enabled: true
2025-11-28 23:28:27 +0100: Memory Usage (453916K) : PreCheck DRC enabled: false
2025-11-28 23:28:27 +0100: Memory Usage (453916K) : CONNECTIVITY_RULES enabled: true for table main
2025-11-28 23:28:27 +0100: Memory Usage (453916K) : Read in polygons from layers.
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : activ_drw has 27 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : activ_pin has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : activ_mask has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : activ_filler has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : activ_nofill has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : activ_opc has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : activ_iopc has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : activ_noqrc has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : biwind_drw has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : biwind_opc has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : pemwind_drw has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : gatpoly_drw has 28 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : gatpoly_pin has 4 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : gatpoly_filler has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : gatpoly_nofill has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : gatpoly_opc has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : gatpoly_iopc has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : gatpoly_noqrc has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : cont_drw has 80 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : cont_opc has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : nsd_drw has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : nsd_block has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : metal1_drw has 63 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : metal1_pin has 13 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : metal1_mask has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : metal1_filler has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : metal1_nofill has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : metal1_slit has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : metal1_text has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : metal1_opc has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : metal1_noqrc has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : metal1_res has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : metal1_iprobe has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : metal1_diffprb has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : passiv_drw has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : passiv_pin has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : passiv_sbump has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (456236K) : passiv_pillar has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457144K) : passiv_pdl has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457144K) : metal2_drw has 11 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457144K) : metal2_pin has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457144K) : metal2_mask has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457144K) : metal2_filler has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457144K) : metal2_nofill has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457144K) : metal2_slit has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457408K) : metal2_text has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457408K) : metal2_opc has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457408K) : metal2_noqrc has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457408K) : metal2_res has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457408K) : metal2_iprobe has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457408K) : metal2_diffprb has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457672K) : baspoly_drw has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457672K) : baspoly_pin has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457672K) : psd_drw has 5 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457672K) : nldb_drw has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457672K) : digibnd_drw has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457672K) : via1_drw has 16 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457936K) : backmetal1_drw has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457936K) : backmetal1_pin has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457936K) : backmetal1_mask has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457936K) : backmetal1_filler has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457936K) : backmetal1_nofill has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (457936K) : backmetal1_slit has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (458200K) : backmetal1_text has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (458200K) : backmetal1_opc has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (458200K) : backmetal1_noqrc has 0 polygons
2025-11-28 23:28:27 +0100: Memory Usage (458200K) : backmetal1_res has 0 polygons
