# Logfile created on 2025-11-01 00:06:42 +0100 by logger.rb/v1.5.3
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : Starting running IHP-SG13G2 Klayout DRC runset on /foss/designs/SAR_ADC_IHP/gds/comparador/dynamic_biasing_comparator.gds
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : Ruby Version for klayout: 3.2.3
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : Loading database to memory is complete.
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : IHP-SG13G2 Klayout DRC runset output at: /foss/designs/SAR_ADC_IHP/gds/drc_run_dynamic_biasing_comparator/dynamic_biasing_comparator_dynamic_biasing_comparator_main.lyrdb
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : Evaluate switches.
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : table_name selected  main
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : Klayout will use 1 thread(s)
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : deep mode is enabled for main table.
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : FEOL enabled: true
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : BEOL enabled: true
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : OffGrid enabled: true
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : PreCheck DRC enabled: false
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : CONNECTIVITY_RULES enabled: true for table main
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : Read in polygons from layers.
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : activ_drw has 64 polygons
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : activ_pin has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : activ_mask has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : activ_filler has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : activ_nofill has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : activ_opc has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : activ_iopc has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : activ_noqrc has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : biwind_drw has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : biwind_opc has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : pemwind_drw has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : gatpoly_drw has 35 polygons
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : gatpoly_pin has 7 polygons
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : gatpoly_filler has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : gatpoly_nofill has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : gatpoly_opc has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : gatpoly_iopc has 0 polygons
2025-11-01 00:06:42 +0100: Memory Usage (453988K) : gatpoly_noqrc has 0 polygons
