# Logfile created on 2025-11-25 18:16:56 +0100 by logger.rb/v1.5.3
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : Starting running IHP-SG13G2 Klayout DRC runset on /foss/designs/SAR_ADC_IHP/gds/comparador/pgen.gds
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : Ruby Version for klayout: 3.2.3
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : Loading database to memory is complete.
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : IHP-SG13G2 Klayout DRC runset output at: /foss/designs/SAR_ADC_IHP/gds/drc_run_pgen/pgen_pgen_main.lyrdb
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : Evaluate switches.
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : table_name selected  main
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : Klayout will use 1 thread(s)
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : deep mode is enabled for main table.
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : FEOL enabled: true
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : BEOL enabled: true
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : OffGrid enabled: true
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : PreCheck DRC enabled: false
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : CONNECTIVITY_RULES enabled: true for table main
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : Read in polygons from layers.
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : activ_drw has 56 polygons
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : activ_pin has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : activ_mask has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : activ_filler has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : activ_nofill has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : activ_opc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : activ_iopc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : activ_noqrc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : biwind_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : biwind_opc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : pemwind_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : gatpoly_drw has 37 polygons
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : gatpoly_pin has 6 polygons
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : gatpoly_filler has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : gatpoly_nofill has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : gatpoly_opc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (453076K) : gatpoly_iopc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455532K) : gatpoly_noqrc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455532K) : cont_drw has 221 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455532K) : cont_opc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455532K) : nsd_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455532K) : nsd_block has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455532K) : metal1_drw has 77 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455532K) : metal1_pin has 31 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455532K) : metal1_mask has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455532K) : metal1_filler has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455532K) : metal1_nofill has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455532K) : metal1_slit has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455532K) : metal1_text has 18 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455532K) : metal1_opc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455532K) : metal1_noqrc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455532K) : metal1_res has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455532K) : metal1_iprobe has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455532K) : metal1_diffprb has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455532K) : passiv_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455980K) : passiv_pin has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455980K) : passiv_sbump has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455980K) : passiv_pillar has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455980K) : passiv_pdl has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455980K) : metal2_drw has 1 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455980K) : metal2_pin has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (455980K) : metal2_mask has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (456244K) : metal2_filler has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (456244K) : metal2_nofill has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (456244K) : metal2_slit has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (456244K) : metal2_text has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (456244K) : metal2_opc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (456244K) : metal2_noqrc has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (456244K) : metal2_res has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (456508K) : metal2_iprobe has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (456508K) : metal2_diffprb has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (456508K) : baspoly_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (456508K) : baspoly_pin has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (456508K) : psd_drw has 16 polygons
2025-11-25 18:16:56 +0100: Memory Usage (456772K) : nldb_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (456772K) : digibnd_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (456772K) : via1_drw has 1 polygons
2025-11-25 18:16:56 +0100: Memory Usage (456772K) : backmetal1_drw has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (456772K) : backmetal1_pin has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (456772K) : backmetal1_mask has 0 polygons
2025-11-25 18:16:56 +0100: Memory Usage (457036K) : backmetal1_filler has 0 polygons
