# Logfile created on 2025-10-25 17:21:07 +0200 by logger.rb/v1.5.3
2025-10-25 17:21:07 +0200: Memory Usage (455304K) : Starting running IHP-SG13G2 Klayout DRC runset on /foss/designs/SAR_ADC_IHP/gds/tgate_v1.gds
2025-10-25 17:21:07 +0200: Memory Usage (455304K) : Ruby Version for klayout: 3.2.3
2025-10-25 17:21:07 +0200: Memory Usage (455304K) : Loading database to memory is complete.
2025-10-25 17:21:07 +0200: Memory Usage (455304K) : IHP-SG13G2 Klayout DRC runset output at: /foss/designs/SAR_ADC_IHP/gds/drc_run_transmission_gate_lv_w_dummy/tgate_v1_transmission_gate_lv_w_dummy_main.lyrdb
2025-10-25 17:21:07 +0200: Memory Usage (455304K) : Evaluate switches.
2025-10-25 17:21:07 +0200: Memory Usage (455304K) : table_name selected  main
2025-10-25 17:21:07 +0200: Memory Usage (455304K) : Klayout will use 1 thread(s)
2025-10-25 17:21:07 +0200: Memory Usage (455304K) : deep mode is enabled for main table.
2025-10-25 17:21:07 +0200: Memory Usage (455304K) : FEOL enabled: true
2025-10-25 17:21:07 +0200: Memory Usage (455304K) : BEOL enabled: true
2025-10-25 17:21:07 +0200: Memory Usage (455304K) : OffGrid enabled: true
2025-10-25 17:21:07 +0200: Memory Usage (455304K) : PreCheck DRC enabled: false
2025-10-25 17:21:07 +0200: Memory Usage (455304K) : CONNECTIVITY_RULES enabled: true for table main
2025-10-25 17:21:07 +0200: Memory Usage (455304K) : Read in polygons from layers.
2025-10-25 17:21:07 +0200: Memory Usage (457104K) : activ_drw has 12 polygons
2025-10-25 17:21:07 +0200: Memory Usage (457104K) : activ_pin has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (457104K) : activ_mask has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (457104K) : activ_filler has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (457104K) : activ_nofill has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (457104K) : activ_opc has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (457104K) : activ_iopc has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (457104K) : activ_noqrc has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (457104K) : biwind_drw has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (457104K) : biwind_opc has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (457104K) : pemwind_drw has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (457104K) : gatpoly_drw has 8 polygons
2025-10-25 17:21:07 +0200: Memory Usage (457104K) : gatpoly_pin has 2 polygons
2025-10-25 17:21:07 +0200: Memory Usage (457104K) : gatpoly_filler has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (457104K) : gatpoly_nofill has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (457104K) : gatpoly_opc has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (457104K) : gatpoly_iopc has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (457104K) : gatpoly_noqrc has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (457104K) : cont_drw has 16 polygons
2025-10-25 17:21:07 +0200: Memory Usage (457104K) : cont_opc has 0 polygons
2025-10-25 17:21:07 +0200: Memory Usage (457104K) : nsd_drw has 0 polygons
